ID;CardID;Amount
#Generated 05.03.2023 16:06:32;;
M3H1_0;M3R1101;2
M3H1_0;M3R1114;2
M3H1_0;M3R1105;2
M3H1_0;M3R1102;2
M3H1_0;M3R1115;2
M3H1_0;M3R1120;2
M3H1_0;M3R1112;2
M3H1_0;M3R1111;2
M3H1_0;M3R1214;1
M3H1_0;M3R1211;1
M3H1_0;M3R1113;2
M3H1_0;M3R1109;2
M3H1_0;M3R1212;1
M3H1_0;M3R1215;1
M3H1_0;M3R1201;2
M3H1_0;M3R1119;2
M3H1_0;M3R1108;2
M3H1_1;M3R1101;2
M3H1_1;M3R1114;1
M3H1_1;M3R1105;2
M3H1_1;M3R1102;2
M3H1_1;M3R1115;2
M3H1_1;M3R1202;2
M3H1_1;M3R1120;2
M3H1_1;M3R1112;2
M3H1_1;M3R1111;2
M3H1_1;M3R1214;1
M3H1_1;M3R1211;1
M3H1_1;M3R1113;2
M3H1_1;M3R1109;1
M3H1_1;M3R1213;1
M3H1_1;M3R1212;1
M3H1_1;M3R1302;1
M3H1_1;M3R1215;1
M3H1_1;M3R1201;2
M3H1_1;M3R1119;1
M3H1_1;M3R1108;1
M3H1_2;M3R1101;1
M3H1_2;M3R1105;1
M3H1_2;M3R1115;2
M3H1_2;M3R1202;2
M3H1_2;M3R1120;2
M3H1_2;M3R1117;1
M3H1_2;M3R6221;1
M3H1_2;M3R5221;1
M3H1_2;M3R4221;1
M3H1_2;M3R3221;1
M3H1_2;M3R1214;1
M3H1_2;M3R1211;1
M3H1_2;M3R1113;2
M3H1_2;M3R1315;1
M3H1_2;M3R1314;1
M3H1_2;M3R1213;1
M3H1_2;M3R1212;1
M3H1_2;M3R1312;1
M3H1_2;M3R1313;1
M3H1_2;M3R1311;1
M3H1_2;M3R1302;2
M3H1_2;M3R1215;1
M3H1_2;M3R1201;2
M3H1_2;M3R1203;1
M3H1_3;M3R1101;1
M3H1_3;M3R1105;1
M3H1_3;M3R1115;2
M3H1_3;M3R1202;2
M3H1_3;M3R1120;2
M3H1_3;M3R1214;1
M3H1_3;M3R1211;1
M3H1_3;M3R1113;2
M3H1_3;M3R1315;1
M3H1_3;M3R1314;1
M3H1_3;M3R1213;1
M3H1_3;M3R1212;1
M3H1_3;M3R1312;1
M3H1_3;M3R1347;1
M3H1_3;M3R1313;1
M3H1_3;M3R1311;1
M3H1_3;M3R1302;2
M3H1_3;M3R1215;1
M3H1_3;M3R1201;2
M3H1_3;M3R1203;2
M3H1_3;M3R1402;1
M3H1_3;M3R1403;1
M3H1_3;M3R1401;1
M3H1_4;M3R1112;3
M3H1_4;M3R1111;3
M3H1_4;M3R1106;3
M3H1_4;M3R1113;3
M3H1_4;M3R1314;2
M3H1_4;M3R1315;3
M3H1_4;M3R1213;3
M3H1_4;M3R1212;3
M3H1_4;M3R1313;2
M3H1_4;M3R1311;3
M3H1_4;M3R1203;2
M3H1_5;M3R1105;1
M3H1_5;M3R1202;2
M3H1_5;M3R1120;2
M3H1_5;M3R1141;3
M3H1_5;M3R1206;3
M3H1_5;M3R1246;3
M3H1_5;M3R1342;3
M3H1_5;M3R1306;3
M3H1_5;M3R1242;3
M3H1_5;M3R1343;3
M3H1_5;M3R1203;2
M3H1_5;M3R1402;1
M3H1_5;M3R1401;1
M3H1_6;M3R1105;1
M3H1_6;M3R1202;2
M3H1_6;M3R1120;1
M3H1_6;M3R1141;3
M3H1_6;M3R1206;2
M3H1_6;M3R1246;3
M3H1_6;M3R1342;3
M3H1_6;M3R1306;2
M3H1_6;M3R1242;3
M3H1_6;M3R1302;2
M3H1_6;M3R1343;3
M3H1_6;M3R1203;3
M3H1_6;M3R1402;1
M3H1_6;M3R1401;1
M3H1_7;M3R1105;1
M3H1_7;M3R1202;2
M3H1_7;M3R1120;1
M3H1_7;M3R1141;3
M3H1_7;M3R1246;3
M3H1_7;M3R1342;3
M3H1_7;M3R1306;2
M3H1_7;M3R1242;3
M3H1_7;M3R7405;2
M3H1_7;M3R1302;2
M3H1_7;M3R1343;3
M3H1_7;M3R1203;3
M3H1_7;M3R1402;1
M3H1_7;M3R1401;1
M3H1_8;M3R1105;1
M3H1_8;M3R1120;2
M3H1_8;M3R1202;3
M3H1_8;M3R1141;3
M3H1_8;M3R1246;3
M3H1_8;M3R1342;3
M3H1_8;M3R1306;2
M3H1_8;M3R1242;1
M3H1_8;M3R7405;2
M3H1_8;M3R1302;2
M3H1_8;M3R1343;3
M3H1_8;M3R1203;3
M3H1_8;M3R1402;1
M3H1_8;M3R1401;1
M3H1_9;M3R1105;1
M3H1_9;M3R1120;2
M3H1_9;M3R1202;3
M3H1_9;M3R1141;3
M3H1_9;M3R1246;3
M3H1_9;M3R1342;3
M3H1_9;M3R1213;3
M3H1_9;M3R1306;2
M3H1_9;M3R1242;1
M3H1_9;M3R1302;2
M3H1_9;M3R1343;2
M3H1_9;M3R1203;3
M3H1_9;M3R1402;1
M3H1_9;M3R1401;1
M3H10_2;M3R6110;1
M3H10_2;M3R6202;1
M3H10_2;M3R1202;1
M3H10_2;M3R6221;1
M3H10_2;M3R6141;3
M3H10_2;M3R6206;1
M3H10_2;M3R1246;3
M3H10_2;M3R6342;2
M3H10_2;M3R6142;3
M3H10_2;M3R1348;2
M3H10_2;M3R6341;3
M3H10_2;M3R6241;3
M3H10_2;M3R6343;2
M3H10_2;M3R6201;1
M3H10_2;M3R6209;3
M3H10_3;M3R6221;3
M3H10_3;M3R6202;1
M3H10_3;M3R1202;1
M3H10_3;M3R6141;3
M3H10_3;M3R6206;1
M3H10_3;M3R1246;3
M3H10_3;M3R6342;2
M3H10_3;M3R6142;3
M3H10_3;M3R1348;2
M3H10_3;M3R6341;3
M3H10_3;M3R6241;3
M3H10_3;M3R6343;2
M3H10_3;M3R6209;3
M3H10_4;M3R6221;2
M3H10_4;M3R6202;3
M3H10_4;M3R6141;2
M3H10_4;M3R4146;2
M3H10_4;M3R1246;3
M3H10_4;M3R6342;1
M3H10_4;M3R6142;2
M3H10_4;M3R1348;3
M3H10_4;M3R6341;3
M3H10_4;M3R6241;2
M3H10_4;M3R4346;3
M3H10_4;M3R6343;1
M3H10_4;M3R6209;1
M3H10_4;M3R6203;2
M3H10_5;M3R6221;3
M3H10_5;M3R6202;3
M3H10_5;M3R6141;2
M3H10_5;M3R4146;2
M3H10_5;M3R1246;3
M3H10_5;M3R6342;1
M3H10_5;M3R6142;2
M3H10_5;M3R1348;3
M3H10_5;M3R6341;2
M3H10_5;M3R6241;2
M3H10_5;M3R4346;2
M3H10_5;M3R6343;1
M3H10_5;M3R6209;1
M3H10_5;M3R6203;3
M3H10_6;M3R6221;3
M3H10_6;M3R6202;2
M3H10_6;M3R6141;2
M3H10_6;M3R4146;2
M3H10_6;M3R1246;3
M3H10_6;M3R6342;1
M3H10_6;M3R6142;2
M3H10_6;M3R1348;3
M3H10_6;M3R6341;2
M3H10_6;M3R6241;2
M3H10_6;M3R4346;2
M3H10_6;M3R6343;1
M3H10_6;M3R6209;1
M3H10_6;M3R6203;3
M3H10_6;M3R6403;1
M3H10_7;M3R6221;3
M3H10_7;M3R6202;2
M3H10_7;M3R6141;2
M3H10_7;M3R4146;2
M3H10_7;M3R1246;3
M3H10_7;M3R6342;1
M3H10_7;M3R6142;2
M3H10_7;M3R1348;3
M3H10_7;M3R6341;2
M3H10_7;M3R6241;2
M3H10_7;M3R4346;2
M3H10_7;M3R6343;1
M3H10_7;M3R6203;3
M3H10_7;M3R6403;1
M3H10_7;M3R6401;1
M3H10_8;M3R6221;3
M3H10_8;M3R6202;2
M3H10_8;M3R6141;2
M3H10_8;M3R4146;1
M3H10_8;M3R1246;3
M3H10_8;M3R6142;3
M3H10_8;M3R6342;1
M3H10_8;M3R1348;3
M3H10_8;M3R6341;3
M3H10_8;M3R6241;2
M3H10_8;M3R4346;1
M3H10_8;M3R6343;1
M3H10_8;M3R6203;3
M3H10_8;M3R6403;1
M3H10_8;M3R6401;1
M3H10_9;M3R6202;3
M3H10_9;M3R6221;3
M3H10_9;M3R4146;1
M3H10_9;M3R1246;3
M3H10_9;M3R6142;3
M3H10_9;M3R6342;1
M3H10_9;M3R1348;3
M3H10_9;M3R6341;3
M3H10_9;M3R6241;2
M3H10_9;M3R4346;1
M3H10_9;M3R6343;1
M3H10_9;M3R7405;1
M3H10_9;M3R6203;3
M3H10_9;M3R6403;1
M3H10_9;M3R6401;1
M3H9_3;M3R7201;3
M3H9_3;M3R6111;2
M3H9_3;M3R5202;2
M3H9_3;M3R1202;2
M3H9_3;M3R6222;1
M3H9_3;M3R2224;1
M3H9_3;M3R5222;2
M3H9_3;M3R1224;2
M3H9_3;M3R6115;2
M3H9_3;M3R2111;1
M3H9_3;M3R2112;1
M3H9_3;M3R5312;2
M3H9_3;M3R6215;2
M3H9_3;M3R2116;1
M3H9_3;M3R5302;1
M3H9_3;M3R1302;1
M3H9_3;M3R6201;1
M3H9_3;M3R5203;1
M3H9_3;M3R1203;1
M3H9_3;M3R5303;1
M3H9_4;M3R7201;2
M3H9_4;M3R6111;2
M3H9_4;M3R5311;1
M3H9_4;M3R5202;2
M3H9_4;M3R1202;2
M3H9_4;M3R6222;1
M3H9_4;M3R2224;1
M3H9_4;M3R5222;1
M3H9_4;M3R1224;1
M3H9_4;M3R6115;2
M3H9_4;M3R2111;1
M3H9_4;M3R1348;2
M3H9_4;M3R2112;1
M3H9_4;M3R5312;2
M3H9_4;M3R6215;2
M3H9_4;M3R2116;1
M3H9_4;M3R5302;1
M3H9_4;M3R1302;1
M3H9_4;M3R6201;1
M3H9_4;M3R5203;1
M3H9_4;M3R1203;1
M3H9_4;M3R5303;1
M3H9_5;M3R7201;2
M3H9_5;M3R6111;1
M3H9_5;M3R5311;1
M3H9_5;M3R5202;2
M3H9_5;M3R1202;2
M3H9_5;M3R6222;1
M3H9_5;M3R2224;1
M3H9_5;M3R5222;1
M3H9_5;M3R1224;1
M3H9_5;M3R6115;2
M3H9_5;M3R2111;1
M3H9_5;M3R1348;2
M3H9_5;M3R2112;1
M3H9_5;M3R5312;2
M3H9_5;M3R6215;2
M3H9_5;M3R2116;1
M3H9_5;M3R5302;2
M3H9_5;M3R1302;2
M3H9_5;M3R5203;1
M3H9_5;M3R1203;1
M3H9_5;M3R5303;1
M3H9_6;M3R7201;2
M3H9_6;M3R6111;1
M3H9_6;M3R5311;1
M3H9_6;M3R5202;2
M3H9_6;M3R1202;2
M3H9_6;M3R6222;1
M3H9_6;M3R2224;1
M3H9_6;M3R5222;1
M3H9_6;M3R1224;1
M3H9_6;M3R6115;1
M3H9_6;M3R1348;2
M3H9_6;M3R2112;1
M3H9_6;M3R5312;2
M3H9_6;M3R6215;2
M3H9_6;M3R2116;1
M3H9_6;M3R5302;2
M3H9_6;M3R1302;2
M3H9_6;M3R1203;2
M3H9_6;M3R5203;2
M3H9_6;M3R5303;1
M3H9_7;M3R7201;2
M3H9_7;M3R6111;1
M3H9_7;M3R5311;1
M3H9_7;M3R5202;2
M3H9_7;M3R1202;2
M3H9_7;M3R6222;1
M3H9_7;M3R2224;1
M3H9_7;M3R5222;1
M3H9_7;M3R1224;1
M3H9_7;M3R1348;2
M3H9_7;M3R5312;2
M3H9_7;M3R6215;3
M3H9_7;M3R5302;2
M3H9_7;M3R1302;2
M3H9_7;M3R1203;2
M3H9_7;M3R5203;2
M3H9_7;M3R6402;1
M3H9_7;M3R5303;1
M3H9_7;M3R7403;1
M3H9_8;M3R7201;2
M3H9_8;M3R1202;3
M3H9_8;M3R5202;3
M3H9_8;M3R5311;1
M3H9_8;M3R6222;1
M3H9_8;M3R2224;1
M3H9_8;M3R1348;2
M3H9_8;M3R5312;2
M3H9_8;M3R6215;3
M3H9_8;M3R5302;3
M3H9_8;M3R1302;3
M3H9_8;M3R1203;2
M3H9_8;M3R5203;2
M3H9_8;M3R6402;1
M3H9_8;M3R7403;1
M3H9_9;M3R7201;2
M3H9_9;M3R1202;3
M3H9_9;M3R5202;3
M3H9_9;M3R6222;1
M3H9_9;M3R2224;1
M3H9_9;M3R1348;2
M3H9_9;M3R5312;2
M3H9_9;M3R6215;3
M3H9_9;M3R5302;3
M3H9_9;M3R1302;3
M3H9_9;M3R1203;3
M3H9_9;M3R5203;3
M3H9_9;M3R6402;1
M3H7_4;M3R3202;2
M3H7_4;M3R3120;1
M3H7_4;M3R1120;1
M3H7_4;M3R1202;2
M3H7_4;M3R3141;2
M3H7_4;M3R3305;1
M3H7_4;M3R3242;1
M3H7_4;M3R1312;1
M3H7_4;M3R3347;1
M3H7_4;M3R3304;1
M3H7_4;M3R3302;2
M3H7_4;M3R1302;2
M3H7_4;M3R1311;1
M3H7_4;M3R3241;2
M3H7_4;M3R1108;1
M3H7_4;M3R3203;1
M3H7_4;M3R1203;2
M3H7_4;M3R3402;1
M3H7_4;M3R3342;1
M3H7_4;M3R1307;2
M3H7_4;M3R3341;2
M3H7_5;M3R3110;2
M3H7_5;M3R2309;1
M3H7_5;M3R2308;2
M3H7_5;M3R3120;1
M3H7_5;M3R3202;2
M3H7_5;M3R1202;2
M3H7_5;M3R1120;1
M3H7_5;M3R1213;2
M3H7_5;M3R3304;1
M3H7_5;M3R3302;1
M3H7_5;M3R1204;3
M3H7_5;M3R1302;1
M3H7_5;M3R1311;1
M3H7_5;M3R3203;1
M3H7_5;M3R1203;1
M3H7_5;M3R3402;1
M3H7_5;M3R1402;1
M3H7_5;M3R1307;1
M3H7_5;M3R6403;1
M3H7_5;M3R3341;1
M3H7_5;M3R5403;1
M3H7_5;M3R3403;1
M3H7_5;M3R1403;1
M3H7_6;M3R7201;2
M3H7_6;M3R3110;3
M3H7_6;M3R2309;1
M3H7_6;M3R2308;3
M3H7_6;M3R1120;1
M3H7_6;M3R1202;2
M3H7_6;M3R3202;2
M3H7_6;M3R3120;1
M3H7_6;M3R1203;1
M3H7_6;M3R3203;1
M3H7_6;M3R6403;1
M3H7_6;M3R5402;1
M3H7_6;M3R1403;1
M3H7_6;M3R3341;1
M3H7_6;M3R6402;1
M3H7_6;M3R2304;1
M3H7_6;M3R6308;1
M3H7_6;M3R5303;2
M3H7_6;M3R5401;1
M3H7_6;M3R1401;1
M3H7_6;M3R3401;2
M3H7_7;M3R7201;2
M3H7_7;M3R3110;3
M3H7_7;M3R2309;1
M3H7_7;M3R2308;3
M3H7_7;M3R1202;2
M3H7_7;M3R3202;2
M3H7_7;M3R3203;2
M3H7_7;M3R1203;2
M3H7_7;M3R6403;1
M3H7_7;M3R5402;1
M3H7_7;M3R1403;1
M3H7_7;M3R3341;1
M3H7_7;M3R6402;1
M3H7_7;M3R2304;1
M3H7_7;M3R6308;1
M3H7_7;M3R5303;2
M3H7_7;M3R5401;1
M3H7_7;M3R1401;1
M3H7_7;M3R3401;2
M3H7_8;M3R3110;3
M3H7_8;M3R2309;1
M3H7_8;M3R2308;3
M3H7_8;M3R1202;2
M3H7_8;M3R3202;2
M3H7_8;M3R2115;3
M3H7_8;M3R6147;3
M3H7_8;M3R1213;3
M3H7_8;M3R3203;1
M3H7_8;M3R1203;1
M3H7_8;M3R6403;1
M3H7_8;M3R5402;1
M3H7_8;M3R3341;1
M3H7_8;M3R6402;1
M3H7_8;M3R2304;1
M3H7_8;M3R6308;1
M3H7_8;M3R5303;1
M3H7_8;M3R1401;1
M3H7_9;M3R3110;3
M3H7_9;M3R2309;1
M3H7_9;M3R2308;3
M3H7_9;M3R1202;2
M3H7_9;M3R3202;2
M3H7_9;M3R2115;3
M3H7_9;M3R6147;3
M3H7_9;M3R1213;3
M3H7_9;M3R3203;1
M3H7_9;M3R1203;1
M3H7_9;M3R6403;1
M3H7_9;M3R5402;1
M3H7_9;M3R3341;2
M3H7_9;M3R6402;1
M3H7_9;M3R2304;1
M3H7_9;M3R6308;1
M3H7_9;M3R1401;1
M3H8_5;M3R4110;1
M3H8_5;M3R7101;2
M3H8_5;M3R7201;2
M3H8_5;M3R4105;2
M3H8_5;M3R1105;2
M3H8_5;M3R4120;2
M3H8_5;M3R4202;2
M3H8_5;M3R1202;2
M3H8_5;M3R1120;2
M3H8_5;M3R4302;1
M3H8_5;M3R1302;1
M3H8_5;M3R4403;1
M3H8_5;M3R1203;1
M3H8_5;M3R4203;1
M3H8_5;M3R4304;1
M3H8_5;M3R1307;1
M3H8_5;M3R4402;1
M3H8_5;M3R4306;1
M3H8_5;M3R1401;1
M3H8_5;M3R4401;1
M3H8_5;M3R7205;1
M3H8_5;M3R7303;1
M3H8_6;M3R7201;3
M3H8_6;M3R7101;1
M3H8_6;M3R4105;1
M3H8_6;M3R1105;1
M3H8_6;M3R1202;3
M3H8_6;M3R4202;3
M3H8_6;M3R4120;1
M3H8_6;M3R1120;1
M3H8_6;M3R4302;1
M3H8_6;M3R1302;1
M3H8_6;M3R4403;1
M3H8_6;M3R1203;2
M3H8_6;M3R4203;2
M3H8_6;M3R4304;1
M3H8_6;M3R1307;1
M3H8_6;M3R4402;1
M3H8_6;M3R4306;1
M3H8_6;M3R2401;1
M3H8_6;M3R1401;1
M3H8_6;M3R4401;1
M3H8_6;M3R7205;1
M3H8_6;M3R7303;1
M3H8_7;M3R7201;3
M3H8_7;M3R7101;1
M3H8_7;M3R4105;1
M3H8_7;M3R1105;1
M3H8_7;M3R1202;3
M3H8_7;M3R4202;3
M3H8_7;M3R4302;2
M3H8_7;M3R1302;2
M3H8_7;M3R4403;1
M3H8_7;M3R1203;2
M3H8_7;M3R4203;2
M3H8_7;M3R4304;1
M3H8_7;M3R1307;1
M3H8_7;M3R4402;1
M3H8_7;M3R4306;1
M3H8_7;M3R2401;1
M3H8_7;M3R1401;1
M3H8_7;M3R4401;1
M3H8_7;M3R7205;1
M3H8_7;M3R7303;1
M3H8_8;M3R7201;3
M3H8_8;M3R7101;1
M3H8_8;M3R4105;1
M3H8_8;M3R1105;1
M3H8_8;M3R1202;3
M3H8_8;M3R4202;3
M3H8_8;M3R4302;2
M3H8_8;M3R1302;2
M3H8_8;M3R4403;2
M3H8_8;M3R1203;2
M3H8_8;M3R4203;2
M3H8_8;M3R4402;1
M3H8_8;M3R4306;1
M3H8_8;M3R1401;2
M3H8_8;M3R4401;2
M3H8_8;M3R7205;1
M3H8_8;M3R7303;1
M3H8_9;M3R7201;3
M3H8_9;M3R4105;1
M3H8_9;M3R1105;1
M3H8_9;M3R1202;3
M3H8_9;M3R4202;3
M3H8_9;M3R7405;2
M3H8_9;M3R4302;2
M3H8_9;M3R1302;2
M3H8_9;M3R4403;2
M3H8_9;M3R1203;2
M3H8_9;M3R4203;2
M3H8_9;M3R4402;1
M3H8_9;M3R4306;1
M3H8_9;M3R1401;2
M3H8_9;M3R4401;2
M3H8_9;M3R7205;1
M3H19_6;M3R7201;2
M3H19_6;M3R2308;2
M3H19_6;M3R2141;2
M3H19_6;M3R2202;1
M3H19_6;M3R1202;1
M3H19_6;M3R4341;2
M3H19_6;M3R4242;3
M3H19_6;M3R1346;3
M3H19_6;M3R2313;2
M3H19_6;M3R2201;1
M3H19_6;M3R1201;1
M3H19_6;M3R2246;2
M3H19_6;M3R2146;3
M3H19_6;M3R1347;2
M3H19_6;M3R4241;1
M3H19_6;M3R2203;1
M3H19_6;M3R1203;1
M3H19_7;M3R7201;2
M3H19_7;M3R2141;2
M3H19_7;M3R2202;1
M3H19_7;M3R1202;1
M3H19_7;M3R4341;2
M3H19_7;M3R4242;3
M3H19_7;M3R1346;3
M3H19_7;M3R2313;2
M3H19_7;M3R2201;1
M3H19_7;M3R1201;1
M3H19_7;M3R2246;2
M3H19_7;M3R2146;3
M3H19_7;M3R1347;2
M3H19_7;M3R4241;1
M3H19_7;M3R1203;2
M3H19_7;M3R2203;2
M3H19_8;M3R7201;1
M3H19_8;M3R2141;3
M3H19_8;M3R2202;1
M3H19_8;M3R1202;1
M3H19_8;M3R4341;2
M3H19_8;M3R4242;3
M3H19_8;M3R1346;3
M3H19_8;M3R2313;2
M3H19_8;M3R2201;1
M3H19_8;M3R1201;1
M3H19_8;M3R2246;2
M3H19_8;M3R2146;3
M3H19_8;M3R1347;2
M3H19_8;M3R4241;1
M3H19_8;M3R1203;2
M3H19_8;M3R2203;2
M3H19_9;M3R7201;1
M3H19_9;M3R2141;3
M3H19_9;M3R2202;1
M3H19_9;M3R1202;1
M3H19_9;M3R4341;2
M3H19_9;M3R4242;3
M3H19_9;M3R1346;3
M3H19_9;M3R2313;1
M3H19_9;M3R1347;3
M3H19_9;M3R2201;1
M3H19_9;M3R1201;1
M3H19_9;M3R2246;2
M3H19_9;M3R2146;3
M3H19_9;M3R4241;1
M3H19_9;M3R1203;2
M3H19_9;M3R2203;2
;M3R1221;30
M3_PYRAMID_LUMINA_22;M3R1105;3
M3_PYRAMID_LUMINA_22;M3R1102;3
M3_PYRAMID_LUMINA_22;M3R1202;2
M3_PYRAMID_LUMINA_22;M3R1120;2
M3_PYRAMID_LUMINA_22;M3R1117;2
M3_PYRAMID_LUMINA_22;M3R1224;2
M3_PYRAMID_LUMINA_22;M3R1223;2
M3_PYRAMID_LUMINA_22;M3R1222;2
M3_PYRAMID_LUMINA_22;M3R1221;2
M3_PYRAMID_LUMINA_22;M3R1206;2
M3_PYRAMID_LUMINA_22;M3R1109;3
M3_PYRAMID_LUMINA_22;M3R1306;2
M3_PYRAMID_LUMINA_22;M3R1309;1
M3_PYRAMID_LUMINA_22;M3R1307;1
M3_PYRAMID_LUMINA_22;M3R1310;1
M3_PYRAMID_LUMINA_41;M3R1105;3
M3_PYRAMID_LUMINA_41;M3R1102;2
M3_PYRAMID_LUMINA_41;M3R1202;2
M3_PYRAMID_LUMINA_41;M3R1120;1
M3_PYRAMID_LUMINA_41;M3R1117;2
M3_PYRAMID_LUMINA_41;M3R1224;2
M3_PYRAMID_LUMINA_41;M3R1223;2
M3_PYRAMID_LUMINA_41;M3R1222;2
M3_PYRAMID_LUMINA_41;M3R1221;2
M3_PYRAMID_LUMINA_41;M3R1206;2
M3_PYRAMID_LUMINA_41;M3R1342;1
M3_PYRAMID_LUMINA_41;M3R1109;1
M3_PYRAMID_LUMINA_41;M3R1213;1
M3_PYRAMID_LUMINA_41;M3R1306;2
M3_PYRAMID_LUMINA_41;M3R1347;1
M3_PYRAMID_LUMINA_41;M3R1309;1
M3_PYRAMID_LUMINA_41;M3R1203;1
M3_PYRAMID_LUMINA_41;M3R1307;1
M3_PYRAMID_LUMINA_41;M3R1310;1
M3_PYRAMID_LUMINA_60;M3R1105;3
M3_PYRAMID_LUMINA_60;M3R1202;2
M3_PYRAMID_LUMINA_60;M3R1117;2
M3_PYRAMID_LUMINA_60;M3R1224;1
M3_PYRAMID_LUMINA_60;M3R1223;1
M3_PYRAMID_LUMINA_60;M3R1222;1
M3_PYRAMID_LUMINA_60;M3R1221;1
M3_PYRAMID_LUMINA_60;M3R1342;1
M3_PYRAMID_LUMINA_60;M3R1109;1
M3_PYRAMID_LUMINA_60;M3R1213;3
M3_PYRAMID_LUMINA_60;M3R1306;2
M3_PYRAMID_LUMINA_60;M3R1311;1
M3_PYRAMID_LUMINA_60;M3R1313;1
M3_PYRAMID_LUMINA_60;M3R1302;2
M3_PYRAMID_LUMINA_60;M3R1347;1
