ID;Name;Level;Element1;Element2;Health;Abilities
#Generated 05.03.2023 16:06:32;;;;;;
M3C_TUTORIAL_BLUBELLIE;Blubellie;1;Rainbow;None;70;
M3C_TUTORIAL_STREETHEALER;Streethealer;1;Rainbow;None;20;0{r}, end your turn: Fully heal your hero.
M3C_TUTORIAL_THALANA;Thalana, Master Illusionist;1;Water;None;40;0{r}, end your turn: Create an Illusion in all empty allied fields.
M3C_CARAVAN_GUARD_1;Caravan Guard;1;Light;None;75;
M3C_ASPIRANT_1;Obscura Aspirant;2;Darkness;None;80;
M3C_VAPYRO_VANGUARD_1;Vapyro Vanguard;3;Fire;None;85;
M3C_KEEPER_OF_ELAION_1;Keeper of Elaion;4;Water;None;90;
M3C_CLOUDHERDER_1;Cloudherder;5;Air;None;95;
M3C_BEASTHUNTER_1;Beasthunter;5;Earth;None;100;
M3C_LIONESS_1;Lioness;6;Earth;None;120;
M3C_BONUS_ROOM_1;Closing Door;1;Neutral;None;999;Countdown 10|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, if there are no allied troops, you lose the game.
M3C_AURA_1;Aura;10;Air;None;110;
M3C_RORAX_1;Rorax;10;Earth;None;110;
M3C_MARADIA_1;Mara'Dia;10;Light;None;110;
M3C_SVARTELD_1;Svarteld;10;Darkness;None;110;
M3C_NIMUEL_1;Nimuel;10;Fire;None;110;
M3C_LEANA_1;Leana;10;Water;None;110;
M3C_BONUS_ROOM_HEROES;Closing Door;10;Neutral;None;999;Countdown 10|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, if there are no allied troops, you lose the game.
M3C_NHUBI_VEHLIRA_SANDVEIL;Veh’Lira, Sandveil Mage;11;Light;None;110;
M3C_NHUBI_SANGUINE_INITIATE;Sanguine Initiate;12;Light;None;130;If there are at least 7 cards in your hand, your hero deals double damage.
M3C_NHUBI_SNAKECATCHER;Snakecatcher;13;Light;None;150;30{r}, end your turn: Create a random Snake from the Relegatia set in a random empty allied field.
M3C_NHUBI_LIFEWEAVER;Lifeweaver;14;Light;None;80;Whenever a card is played by anyone, heal 1 {h} from that player's hero for each card in that player's hand.
M3C_NHUBI_AZHALEA;Azh'Alea, Archangel;15;Light;None;160;Whenever you create one or more {L}, deal two damage to all non-light troops.
M3C_NHUBI_AZHRATHMA;Azh’Rathma, Matriarch;15;Light;None;150;Double the bonus of all allied Nhubi'Reg.
M3C_NHUBI_SANDWORM;Sandworm;16;Light;None;175;Whenever you swipe a light chain, change the element of three random allied non-light crystals to light.
M3C_BONUS_ROOM_NHUBI;Trade Caravan;1;Light;None;999;Countdown 10|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, put a random allied troop in the Deck on a random empty allied field.
M3C_OBSCURA_OVERWORLD_SMUGGLER;Overworld Smuggler;16;Darkness;None;150;Whenever any player draws a card, they draw from their opponent's deck.
M3C_OBSCURA_UNDERSEA_FISHER;Undersea Fisher;17;Darkness;None;160;Whenever any player draws a card, they draw from the bottom of the deck.
M3C_OBSCURA_GUARDIAN_OF_STYX;Guardian of Styx;18;Darkness;None;170;Whenever an enemy troop enters the battlegrounds, destroy that troop. Deal one damage to this for each  {h} of that troop.
M3C_OBSCURA_LAST_PILGRIM;Last Pilgrim;19;Darkness;None;170;Whenever your opponent discards a card, you draw a card from the bottom of your opponent's deck.
M3C_OBSCURA_MELINE;Meline, Daughter of Darkness;20;Darkness;None;100;
M3C_OBSCURA_OUROBOROS;Ouroboros;21;Darkness;None;160;Whenever you swipe a darkness chain, your hero gains +1 {dc}.
M3C_BONUS_ROOM_OBSCURA;Underground Labyrinth;1;Darkness;None;999;Countdown 12|Whenever the countdown reaches zero, you lose the game.|Whenever this is damaged, put all allied troops on the bottom of their owner's deck. Put a random allied troop in the Deck on a random empty allied field. Put a random allied troop in the Deck on a random empty allied field.
M3C_VAPYRO_SMOLDERREEF_CORSAIR;Smolderreef Corsair;21;Fire;None;140;Whenever an enemy troop enters the battlegrounds, deal three damage to that troop.
M3C_VAPYRO_IKAIO_CALDERA_FISHER;Ikaio, Caldera Fisher;22;Fire;None;160;Whenever you play an action, transform a random allied {f} into {F}.
M3C_VAPYRO_KAILANI_SHIPWRIGHT;Kailani, Aeon Shipwright;23;Fire;None;150;Whenever any player swipes a non-fire chain, destroy all crystals of that chain's element of that player.
M3C_VAPYRO_AOLA_FLAMEDANCER;Aola, Flamedancer;24;Fire;None;150;At the start of your turn, your hero gains +20 {fp}.
M3C_VAPYRO_MALO_SOVEREIGN;Malo, Sovereign of Solsed;25;Fire;None;120;Whenever you play an action, you draw a Vapyro.|Whenever you play a Vapyro, you draw an action.
M3C_VAPYRO_HYDRA;Hydra;26;Fire;None;170;Whenever this is damaged, your hero gains +1 {fc}.
M3C_BONUS_ROOM_VAPYRO;Erupting Volcano;1;Fire;None;999;At the start of your turn, deal ten damage to all troops and heroes.|Whenever this is damaged by a fire chain, create a Volcanic Cache in a random empty allied field.|Whenever this is damaged by a water chain, you lose the game.
M3C_MERFOLK_WELLSPRING_HEALER;Wellspring Healer;26;Water;None;150;At the start of your turn, heal 2 {h} from all allied troops.
M3C_MERFOLK_GLOWFISH_TAMER;Glowfish Tamer;27;Water;None;160;30{r}, end your turn: Create a random Fish from the Relegatia set in a random empty allied field.
M3C_MERFOLK_SIRENIA;Sirenia;28;Water;None;180;Your opponent can't play troops.
M3C_MERFOLK_ENDYMEAS;Endymeas the Traitor;29;Water;None;200;At the start of your turn, destroy chosen allied troop. You draw a card.|At the start of your opponent's turn, destroy an enemy troop chosen by your opponent. Your opponent draws a card.
M3C_MERFOLK_RUBINIA_REDFIN;Rubinia Redfin;30;Water;None;200;The cost of Merfolk in your hand is reduced by 2.|Whenever you play a Merfolk, your hero gains +1 {wc}.
M3C_MERFOLK_KRAKEN;Kraken;31;Water;None;88;You can't gain charge.
M3C_BONUS_ROOM_MERFOLK;Fishing Pond;1;Water;None;999;Countdown 10|Whenever the countdown reaches zero, you lose the game.|Whenever this is damaged, create a random Fish from the Relegatia set in a random empty allied field.|Whenever an allied troop is destroyed, add that troop to the encounter rewards.
M3C_SKYFOLK_SOUTHERN_GUARDIAN;Southern Guardian;31;Air;None;170;At the start of your opponent's turn, destroy all crystals in the top row.
