ID;Name;Level;Element1;Element2;Health;Abilities
#Generated 05.03.2023 16:06:32;;;;;;
M3_PYRAMID_M3H1_5;Mara'Dia;5;Light;None;110;
M3_PYRAMID_M3H1_10;Mara'Dia;10;Light;None;115;20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_15;Mara'Dia;15;Light;None;120;
M3_PYRAMID_M3H1_20;Mara'Dia;20;Light;None;125;Non-light troops gain -2{h}.
M3_PYRAMID_M3H1_25;Mara'Dia;25;Light;None;130;Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_30;Mara'Dia;30;Light;None;135;At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.
M3_PYRAMID_M3H1_35;Mara'Dia;35;Light;None;140;At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_40;Mara'Dia;40;Light;None;145;20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_45;Mara'Dia;45;Light;None;150;20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_50;Mara'Dia;50;Light;None;155;Whenever allied troop is healed, transform a random allied {l} into {L}.|20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_55;Mara'Dia;55;Light;None;160;Whenever allied troop is healed, transform a random allied {l} into {L}.|20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.
M3_PYRAMID_M3H1_60;Mara'Dia;60;Light;None;165;Whenever allied troop is healed, transform a random allied {l} into {L}.|20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_65;Mara'Dia;65;Light;None;170;Whenever allied troop is healed, transform a random allied {l} into {L}.|20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.
M3_PYRAMID_M3H1_70;Mara'Dia;70;Light;None;175;Whenever allied troop is healed, transform a random allied {l} into {L}.|20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.
