ID;Name;Rarity;Element;Cost;Type;Subtype;Quick;Health;Abilities
#Generated 01.03.2023 11:00:32;;;;;;;;;
M3E1101;Chewbellie;Forbidden;Light;5{l};Troop;Bellie;;10;When this enters the battlegrounds, you create a random Treat from the Special set in your hand.
M3E1102;Lintbellie;Forbidden;Light;5{l};Troop;Bellie;;10;When this enters the battlegrounds, you draw a card from the bottom of your deck.|When this is destroyed, you draw a card from the bottom of your opponent's deck.
M3E1110;Boobellie;Forbidden;Darkness;5{d};Troop;Bellie;;10;
M3E1111;Dracubellie;Forbidden;Darkness;5{d};Troop;Bellie;;10;When this enters the battlegrounds, deal five damage to the opposite troop. This gains +1{h} for each  damage dealt.
M3E1112;Screwbellie;Forbidden;Darkness;10{d};Troop;Bellie;;20;You gain double charge.
M3E1151;Plumebellie;Forbidden;Air;5{a};Troop;Bellie;;10;When this enters the battlegrounds, reverse gravity.
M3E1152;Seethroughbellie;Forbidden;Air;10{a};Troop;Bellie;;20;Whenever this is damaged, a random allied troop is damaged instead.
M3E1161;Moobellie;Forbidden;Earth;5{e};Troop;Bellie;;10;Whenever this is damaged, double the bonus of this.
M3E1162;Goobellie;Forbidden;Earth;10{e};Troop;Bellie;;15;Whenever a card is played by anyone, this gains +5{h}.
M3E1171;Belliadhis;Secret;Rainbow;20{r};Troop;Bellie;True;10;Increases Boobellie's AI level.|
M3E1172;Mewbellie;Forbidden;Rainbow;25{r};Troop;Bellie;True;10;When this enters the battlegrounds, you create a random Trick from the Special set in your hand.
M3E1173;Shoebellie;Forbidden;Rainbow;30{r};Troop;Bellie;True;15;When this enters the battlegrounds, you create a random Shoe from the Special set in your hand.
M3E1180;Trick or Treat;Forbidden;Darkness;10{r};Action;None;True;;You create a random Trick from the Special set in your hand. You create a random Treat from the Special set in your hand.
M3E1181;Twobellie;Forbidden;Earth;10{r};Action;Trick;True;;You draw two Bellies.
M3E1182;Jumpscare;Forbidden;Air;0{r};Action;Trick;True;;Return a random enemy troop to its owner's hand.
